ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Glottocode,Family_Name
ngar1235,Ngarinman,Australia,-15.4661,130.651,ngar1235,nbj,pama1250,Pama-Nyungan
guer1243,Guerrero Amuzgo,North America,16.77226,-98.18953,guer1243,amu,otom1299,Otomanguean
pula1262,Pular,Africa,12.1826,-12.7338,pula1262,fuf,atla1278,Atlantic-Congo
yano1261,Yanomamö,South America,1.67967,-64.8781,yano1261,guu,yano1268,Yanomamic
wath1238,Wathawurrung,Australia,-37.68777565,144.1013148,wath1238,wth,pama1250,Pama-Nyungan
fipa1238,Fipa,Africa,-7.88963,31.3442,fipa1238,fip,atla1278,Atlantic-Congo
izon1238,Izon,Africa,5.17986,5.51702,izon1238,ijc,ijoi1239,Ijoid
naik1250,Naiki,Eurasia,,,naik1250,nit,drav1251,Dravidian
matu1259,Matumbi,Africa,-8.53734,39.0409,matu1259,mgw,atla1278,Atlantic-Congo
ladj1234,Ladji Ladji,Australia,,,ladj1234,llj,pama1250,Pama-Nyungan
beng1280,Bengali,Eurasia,24.0,90.0,beng1280,ben,indo1319,Indo-European
kala1381,Kalabari,Africa,4.53194,6.69539,kala1381,ijn,ijoi1239,Ijoid
mura1269,Kuninjku,Australia,,,mura1269,gup,gunw1250,Gunwinyguan
chic1270,Chickasaw,North America,33.9452,-97.1301,chic1270,cic,musk1252,Muskogean
lada1244,Leh-Kenhat,Eurasia,33.468,80.6013,lada1244,lbj,sino1245,Sino-Tibetan
pana1307,Panará,South America,-10.58,-53.0,pana1307,kre,nucl1710,Nuclear-Macro-Je
yeru1240,Yerukula,Eurasia,17.3702,81.9748,yeru1240,yeu,drav1251,Dravidian
isla1278,Island Carib,North America,15.364795,-61.342957,isla1278,crb,araw1281,Arawakan
reel1238,Reel,Africa,6.32234,30.49451,reel1238,atu,nilo1247,Nilotic
miri1266,Miriwung,Australia,-16.3596,128.889,miri1266,mep,jarr1235,Jarrakan
maba1277,Maba (Chad),Africa,12.89147,20.8889,maba1277,mde,maba1274,Maban
boro1282,Bororo,South America,-16.6029,-55.2004,boro1282,bor,boro1281,Bororoan
abau1245,Abau,Papunesia,-3.97222,141.324,abau1245,aau,sepi1257,Sepik
